i_animal_type,i_weight_kg,i_age_years,i_previous_antibiotic_use,i_symptom_duration_days,i_temperature_c,i_severity_score,o_prescribed_dose_mg,o_treatment_duration_days,o_expected_recovery_days
cat,6.5,2.2,1,11,37.8,9.2,131.0,13.0,6.0
dog,2.0,4.8,1,12,38.5,5.5,67.5,10.0,6.0
dog,7.1,2.0,1,7,39.2,8.2,132.0,11.0,8.0
dog,7.8,6.5,0,4,38.1,2.2,89.0,4.0,4.0
dog,7.7,5.2,0,11,38.4,9.8,126.0,13.0,9.0
cat,9.2,2.1,0,2,38.7,9.7,140.5,10.0,8.0
dog,8.5,4.4,0,5,39.3,2.5,97.5,4.0,6.0
dog,7.4,3.5,0,12,39.0,3.7,92.5,8.0,5.0
cat,5.8,5.6,1,3,39.1,1.9,87.5,3.0,5.0
cat,1.0,7.7,0,6,38.2,3.4,30.0,5.0,6.0
dog,7.3,1.2,0,8,38.8,8.3,114.5,11.0,7.0
dog,6.6,5.2,0,7,38.0,4.4,88.0,7.0,5.0
dog,6.8,4.7,1,3,39.1,1.8,97.0,3.0,5.0
dog,2.2,6.3,1,8,39.3,4.1,62.5,7.0,8.0
dog,2.8,5.4,0,2,38.9,9.8,77.0,10.0,10.0
dog,9.2,3.5,1,10,38.2,6.7,145.5,10.0,6.0
cat,5.9,4.4,0,9,38.4,4.7,82.5,8.0,5.0
dog,8.0,3.4,0,4,39.8,2.5,92.5,4.0,6.0
dog,6.1,7.2,1,1,38.3,9.9,130.5,10.0,10.0
cat,6.1,5.0,1,8,39.2,8.4,123.0,11.0,10.0
cat,8.8,8.8,0,7,38.7,3.5,105.5,6.0,7.0
cat,4.5,4.9,0,11,38.3,1.6,53.0,5.0,4.0
cat,6.3,3.6,1,13,37.6,1.5,90.5,6.0,4.0
dog,4.6,2.0,0,5,38.6,2.1,56.5,4.0,4.0
dog,4.7,1.4,1,10,38.6,6.2,98.0,10.0,5.0
dog,5.1,1.8,0,13,39.8,9.4,98.0,14.0,10.0
dog,6.7,5.5,1,5,37.9,5.5,114.5,7.0,5.0
dog,4.6,6.0,0,7,40.1,8.6,89.0,11.0,12.0
dog,9.8,1.8,0,5,38.8,5.0,123.0,7.0,5.0
cat,3.3,6.8,1,8,38.8,7.4,90.0,10.0,9.0
dog,5.4,4.0,0,11,38.1,7.6,92.0,11.0,7.0
cat,4.7,5.3,0,13,38.7,2.6,60.0,7.0,5.0
cat,10.3,8.2,1,6,38.8,4.3,144.5,6.0,8.0
dog,6.6,6.8,0,13,39.2,6.7,99.5,11.0,9.0
cat,9.1,4.5,0,5,37.8,1.6,99.0,3.0,4.0
dog,1.5,3.2,0,9,39.5,4.3,36.5,7.0,7.0
cat,6.8,0.7,1,11,38.8,5.8,117.0,9.0,5.0
dog,8.7,3.6,1,2,38.9,10.0,157.0,11.0,10.0
cat,6.2,4.6,1,1,38.3,5.3,108.5,6.0,6.0
dog,9.2,3.0,0,8,37.9,8.3,133.5,11.0,6.0
dog,4.4,4.7,0,12,38.6,4.9,68.5,9.0,6.0
dog,10.2,5.2,0,3,38.6,8.2,143.0,9.0,9.0
dog,12.9,4.6,0,14,37.5,6.4,161.0,11.0,5.0
dog,4.9,3.7,1,11,39.1,9.0,114.0,13.0,9.0
cat,4.7,5.3,0,12,39.2,4.7,70.5,9.0,7.0
cat,10.4,5.9,0,12,38.0,6.4,136.0,10.0,6.0
cat,10.7,2.8,0,12,37.8,6.7,140.5,11.0,5.0
dog,4.4,7.8,1,7,38.3,4.8,88.0,7.0,7.0
cat,4.7,4.8,0,10,38.5,2.3,58.5,6.0,4.0
dog,5.2,5.0,0,13,38.3,1.8,61.0,6.0,4.0
dog,2.0,6.4,0,11,38.5,1.2,30.0,5.0,4.0
cat,3.2,5.5,0,8,38.7,8.9,76.5,12.0,9.0
cat,3.0,6.9,0,13,37.5,3.1,45.5,7.0,4.0
dog,3.7,5.6,1,13,37.6,2.9,71.5,7.0,4.0
cat,5.9,3.8,0,6,36.6,7.6,97.0,10.0,4.0
dog,6.7,5.7,0,12,39.2,3.9,86.5,8.0,7.0
dog,10.7,2.7,0,10,38.5,5.6,135.0,9.0,5.0
dog,3.0,5.2,0,14,39.2,2.5,42.5,7.0,6.0
dog,9.0,4.9,0,9,37.7,9.6,138.0,13.0,8.0
dog,5.4,4.6,0,7,38.5,8.7,97.5,11.0,8.0
cat,5.9,4.7,0,10,38.7,8.8,103.0,12.0,9.0
cat,8.0,1.2,0,5,38.1,4.7,103.5,6.0,4.0
dog,2.6,3.9,0,8,37.4,7.9,65.5,11.0,5.0
dog,7.1,5.2,0,2,39.7,2.3,82.5,3.0,7.0
cat,6.5,5.3,1,7,39.5,1.1,90.5,3.0,5.0
cat,7.5,2.9,1,4,38.2,1.2,101.0,3.0,4.0
dog,6.9,7.5,1,9,38.9,6.3,120.5,9.0,9.0
cat,13.4,3.3,1,12,38.2,5.1,179.5,9.0,5.0
dog,4.1,6.9,0,1,37.8,5.7,69.5,6.0,6.0
cat,4.4,5.9,1,7,39.8,1.1,69.5,3.0,6.0
dog,4.1,3.7,1,6,37.3,4.8,85.0,7.0,4.0
cat,4.3,8.6,0,8,38.3,7.5,80.5,10.0,9.0
dog,4.1,2.6,1,5,38.6,5.0,86.0,7.0,5.0
cat,9.6,6.8,1,1,39.7,7.6,154.0,8.0,11.0
cat,10.3,7.0,0,1,39.1,3.1,118.5,3.0,7.0
dog,4.3,3.7,0,9,37.3,8.3,84.5,11.0,5.0
cat,3.5,7.8,0,10,38.5,6.3,66.5,10.0,8.0
dog,7.4,4.5,1,6,38.5,2.9,108.5,5.0,4.0
cat,4.3,5.6,1,10,38.3,3.1,78.5,6.0,5.0
dog,7.9,5.5,0,5,38.9,6.7,112.5,8.0,8.0
cat,6.6,4.7,0,1,37.5,8.5,108.5,9.0,6.0
dog,1.5,6.6,1,6,38.2,4.7,58.5,7.0,6.0
cat,10.6,6.6,0,6,38.8,3.3,122.5,5.0,6.0
dog,11.4,1.5,1,3,39.0,8.8,178.0,10.0,8.0
cat,4.2,7.6,0,13,38.6,7.0,77.0,11.0,9.0
dog,4.8,1.7,0,8,38.3,5.0,73.0,8.0,4.0
dog,6.9,7.1,1,14,38.4,5.4,116.0,10.0,7.0
dog,7.0,7.3,0,1,39.0,2.8,84.0,3.0,7.0
cat,8.0,2.8,0,1,38.5,6.6,113.0,7.0,6.0
dog,12.0,4.2,0,6,37.8,4.2,141.0,6.0,4.0
cat,5.5,2.8,1,10,37.6,10.0,125.0,13.0,7.0
dog,3.6,4.6,0,13,37.5,5.3,62.5,10.0,4.0
cat,1.9,4.4,0,1,39.5,5.4,46.0,6.0,8.0
dog,3.8,6.6,0,6,39.1,6.1,68.5,8.0,9.0
cat,5.9,7.6,0,1,38.4,9.3,105.5,10.0,10.0
cat,11.4,7.8,0,14,38.2,8.2,155.0,13.0,9.0
dog,4.4,3.9,0,13,38.1,5.1,69.5,9.0,5.0
cat,6.7,4.6,1,6,39.3,7.5,124.5,10.0,9.0
cat,6.0,1.6,1,3,39.8,6.3,111.5,7.0,8.0
dog,9.6,3.4,0,14,38.1,5.4,123.0,10.0,5.0
cat,13.6,6.9,1,14,39.3,2.7,169.5,7.0,7.0
cat,4.4,8.2,1,8,38.5,5.2,90.0,8.0,8.0
cat,4.5,2.5,0,13,38.4,3.2,61.0,8.0,4.0
dog,9.1,3.8,1,6,39.6,9.2,157.0,11.0,11.0
cat,8.0,4.9,1,13,38.5,4.0,120.0,8.0,5.0
dog,11.5,5.6,1,11,38.7,9.6,183.0,13.0,10.0
cat,7.8,3.4,1,13,38.7,5.8,127.0,10.0,6.0
cat,4.9,5.8,1,1,37.4,6.7,102.5,7.0,5.0
cat,7.8,4.1,1,5,38.7,5.9,127.5,8.0,7.0
dog,9.3,5.0,1,8,38.1,2.2,124.0,5.0,4.0
cat,8.5,6.1,1,3,37.5,4.4,127.0,5.0,4.0
cat,7.5,5.0,0,12,38.1,1.9,84.5,6.0,4.0
dog,9.2,4.1,0,6,38.1,6.6,125.0,9.0,6.0
cat,9.5,4.8,1,5,39.2,5.0,140.0,7.0,7.0
dog,10.1,4.8,1,6,37.8,8.0,161.0,10.0,7.0
dog,7.9,4.3,0,10,37.9,3.0,94.0,6.0,4.0
cat,5.5,4.5,1,1,38.7,2.5,87.5,3.0,4.0
dog,6.4,8.2,1,7,37.6,4.7,107.5,7.0,6.0
cat,9.6,6.1,0,9,38.0,9.3,142.5,12.0,9.0
dog,3.5,4.4,0,2,37.3,7.4,72.0,8.0,5.0
dog,7.1,6.4,0,10,39.1,4.8,95.0,8.0,8.0
cat,4.8,4.3,1,5,38.3,5.7,96.5,7.0,6.0
dog,6.1,7.3,1,10,38.5,1.8,90.0,5.0,5.0
dog,9.8,5.7,0,4,39.1,9.9,147.5,11.0,11.0
dog,6.6,4.8,0,6,38.0,7.0,101.0,9.0,6.0
dog,6.1,5.9,1,6,38.3,3.6,99.0,6.0,5.0
dog,1.9,1.9,0,11,37.8,6.3,50.5,10.0,4.0
cat,8.2,2.7,1,2,37.8,2.0,112.0,3.0,4.0
dog,7.9,2.6,1,2,37.9,9.7,147.5,10.0,7.0
cat,12.5,5.3,0,4,38.2,2.6,138.0,4.0,4.0
dog,5.1,8.5,0,1,38.2,6.8,85.0,7.0,8.0
cat,6.7,9.5,1,9,38.7,3.2,103.0,6.0,7.0
cat,6.7,6.3,0,14,37.9,7.5,104.5,12.0,7.0
dog,10.7,6.0,0,14,38.7,8.0,147.0,13.0,9.0
dog,5.7,1.4,0,13,38.8,7.1,92.5,11.0,6.0
dog,6.8,3.9,0,7,38.2,6.5,100.5,9.0,6.0
cat,7.8,3.4,1,12,37.9,9.0,143.0,13.0,7.0
dog,6.6,3.8,1,7,38.6,1.7,94.5,4.0,4.0
cat,4.7,4.7,1,3,38.4,4.0,87.0,5.0,5.0
cat,6.6,4.1,1,11,38.7,3.2,102.0,7.0,5.0
cat,9.2,1.0,0,12,39.6,9.9,141.5,14.0,10.0
dog,2.9,6.5,0,3,38.5,4.5,51.5,6.0,6.0
dog,6.4,2.9,1,1,38.1,7.6,122.0,8.0,6.0
cat,3.9,5.5,1,3,37.9,7.2,95.0,8.0,7.0
cat,9.6,9.1,0,3,37.9,2.9,110.5,4.0,5.0
dog,1.4,3.2,1,4,37.5,3.2,50.0,5.0,4.0
cat,4.3,-0.1,1,4,39.2,3.5,80.5,5.0,4.0
dog,7.1,4.4,0,3,36.9,4.7,94.5,6.0,4.0
cat,10.7,7.2,1,10,38.8,3.1,142.5,6.0,6.0
dog,5.8,8.9,0,12,37.9,1.2,64.0,5.0,4.0
cat,4.3,2.5,0,8,38.1,8.9,87.5,12.0,7.0
dog,11.6,6.0,1,8,37.9,9.7,184.5,12.0,9.0
cat,1.7,4.1,0,13,39.5,4.1,37.5,8.0,7.0
dog,-0.6,4.8,1,13,38.5,4.0,34.0,8.0,5.0
dog,7.3,10.3,0,1,39.1,1.1,78.5,3.0,7.0
cat,4.5,2.0,1,7,39.4,7.1,100.5,9.0,8.0
cat,2.9,5.5,1,11,38.6,8.4,91.0,12.0,9.0
dog,8.1,5.9,1,2,37.7,2.3,112.5,3.0,4.0
cat,6.7,7.2,0,1,38.3,2.4,79.0,3.0,5.0
dog,4.3,5.2,0,3,38.0,8.1,83.5,9.0,7.0
cat,2.2,5.6,1,4,38.1,6.5,74.5,8.0,7.0
dog,8.6,4.2,0,13,38.4,1.4,93.0,6.0,4.0
dog,8.0,5.5,1,6,38.4,6.6,133.0,9.0,7.0
dog,5.7,4.3,1,10,38.8,3.8,96.0,7.0,5.0
dog,11.5,6.2,0,14,38.9,4.3,136.5,9.0,7.0
dog,2.8,4.3,1,5,38.4,7.9,87.5,10.0,7.0
dog,1.4,5.8,0,14,38.8,8.3,55.5,13.0,9.0
cat,3.9,4.9,1,4,38.1,4.6,82.0,6.0,5.0
cat,5.9,7.3,0,8,39.4,9.5,106.5,12.0,12.0
cat,6.7,4.9,1,11,38.1,4.7,110.5,8.0,5.0
dog,5.3,1.5,1,12,39.3,7.9,112.5,12.0,8.0
dog,7.1,7.5,0,14,37.5,5.4,98.0,10.0,6.0
dog,2.2,3.2,1,4,38.2,9.1,87.5,10.0,7.0
dog,10.3,3.7,1,13,38.3,9.2,169.0,14.0,8.0
cat,5.8,3.8,0,10,38.7,1.8,67.0,5.0,4.0
cat,9.4,7.7,1,12,39.1,9.4,161.0,13.0,12.0
dog,7.0,0.7,0,13,37.6,8.4,112.0,13.0,4.0
cat,7.4,11.3,1,2,37.7,8.1,134.5,9.0,10.0
cat,7.7,7.1,0,3,37.5,2.8,91.0,4.0,4.0
dog,7.3,5.4,1,6,39.4,8.2,134.0,10.0,10.0
cat,7.9,4.9,1,8,38.7,8.7,142.5,11.0,9.0
dog,10.0,5.6,1,8,37.7,3.6,138.0,6.0,4.0
cat,6.6,6.0,0,11,38.2,9.6,114.0,13.0,9.0
dog,8.1,6.3,0,9,39.3,1.4,88.0,4.0,6.0
dog,5.7,6.1,0,7,38.3,2.3,68.5,5.0,4.0
dog,10.3,5.2,0,13,38.3,5.8,132.0,10.0,6.0
dog,4.0,4.6,1,2,38.0,6.2,91.0,7.0,6.0
cat,11.4,4.7,1,8,37.8,6.8,168.0,9.0,6.0
dog,5.9,4.6,0,7,39.3,1.2,65.0,4.0,5.0
dog,1.7,7.3,0,8,39.7,9.6,65.0,12.0,13.0
dog,6.4,6.2,0,12,37.8,1.4,71.0,5.0,4.0
cat,4.0,-0.9,1,3,39.5,2.3,71.5,3.0,4.0
dog,8.5,6.3,0,7,38.2,1.1,90.5,3.0,4.0
cat,4.0,5.4,0,10,38.9,6.1,70.5,9.0,8.0
dog,4.7,5.0,1,13,39.5,9.4,114.0,14.0,11.0
cat,0.3,4.2,1,9,38.4,7.0,58.0,10.0,7.0
cat,4.6,7.2,0,3,38.3,8.4,88.0,9.0,9.0
dog,-1.3,6.9,1,14,39.1,1.1,30.0,6.0,5.0
cat,1.2,3.5,0,10,37.7,5.9,41.5,9.0,4.0
dog,8.3,5.8,1,6,39.3,5.1,128.5,7.0,8.0
dog,8.4,3.1,0,2,38.6,5.5,111.5,6.0,6.0
dog,7.3,2.2,0,2,38.1,1.6,81.0,3.0,4.0
cat,3.1,3.7,0,5,38.1,7.2,67.0,9.0,6.0
cat,5.9,6.7,0,5,37.5,5.5,86.5,7.0,5.0
dog,6.0,6.9,1,13,38.1,7.9,119.5,12.0,8.0
dog,2.5,6.0,1,7,38.3,5.4,72.0,8.0,6.0
cat,10.5,6.5,1,12,37.8,2.3,136.5,6.0,4.0
dog,8.6,6.0,1,2,38.5,6.8,140.0,7.0,8.0
dog,5.3,3.7,0,11,38.8,2.6,66.0,6.0,4.0
dog,6.1,5.9,0,14,38.4,8.9,105.5,14.0,9.0
cat,6.6,6.6,1,13,39.0,6.5,118.5,11.0,9.0
cat,-0.1,6.5,1,7,37.9,2.4,31.0,5.0,4.0
cat,5.3,7.4,1,5,39.2,9.7,121.5,11.0,12.0
dog,4.0,6.4,1,14,38.6,5.7,88.5,10.0,7.0
dog,3.0,5.7,1,6,39.6,1.7,58.5,4.0,6.0
dog,5.2,7.1,0,8,40.2,6.6,85.0,9.0,12.0
cat,11.4,4.9,0,10,38.2,3.3,130.5,7.0,4.0
dog,7.9,3.2,0,13,38.2,8.2,120.0,13.0,7.0
dog,4.3,4.7,1,14,38.3,8.4,105.0,13.0,8.0
dog,7.7,3.5,1,12,38.9,9.8,146.0,14.0,9.0
dog,10.2,3.6,1,4,39.4,5.5,149.5,7.0,7.0
cat,8.8,4.7,1,13,38.0,5.1,133.5,9.0,5.0
cat,6.2,3.4,0,7,38.8,7.8,101.0,10.0,8.0
dog,4.1,4.4,0,6,38.4,2.2,52.0,4.0,4.0
cat,8.1,1.2,1,10,38.9,5.9,130.5,9.0,6.0
cat,7.2,5.4,0,2,39.6,5.9,101.5,7.0,9.0
dog,8.7,5.0,0,8,38.3,1.8,96.0,4.0,4.0
dog,7.9,3.4,1,10,37.3,4.8,123.0,8.0,4.0
cat,9.1,6.3,1,9,39.0,8.7,154.5,12.0,10.0
dog,4.4,6.9,1,5,37.9,8.7,107.5,10.0,8.0
cat,10.0,1.8,1,10,38.4,1.9,129.5,5.0,4.0
dog,6.6,3.5,1,4,39.1,1.8,95.0,3.0,4.0
cat,12.2,3.5,1,6,38.7,3.4,159.0,5.0,5.0
dog,3.9,3.1,0,8,38.4,8.9,83.5,12.0,8.0
cat,11.2,6.7,0,11,38.1,2.2,123.0,6.0,4.0
cat,6.6,4.6,1,3,36.5,7.5,123.5,8.0,4.0
cat,4.0,4.5,0,10,39.0,1.9,49.5,5.0,5.0
dog,4.5,1.0,1,11,38.3,6.6,98.0,10.0,5.0
cat,5.0,6.3,1,11,39.6,4.2,91.0,8.0,8.0
cat,7.3,2.5,1,1,38.8,8.1,133.5,8.0,8.0
dog,7.6,5.1,1,4,38.1,3.1,111.5,4.0,4.0
dog,4.3,5.6,0,4,39.2,6.8,77.0,8.0,9.0
cat,5.9,7.7,1,1,39.3,3.1,94.5,3.0,8.0
cat,12.4,2.4,0,9,38.3,7.4,161.0,10.0,6.0
dog,11.2,-1.0,1,3,39.3,8.9,176.5,10.0,7.0
dog,7.3,5.4,1,5,38.1,2.1,103.5,4.0,4.0
dog,6.1,8.6,1,6,38.6,8.8,125.0,11.0,11.0
dog,6.4,7.5,0,8,38.9,6.3,95.5,9.0,9.0
dog,7.8,5.4,1,6,39.0,2.1,108.5,4.0,5.0
cat,2.9,4.0,1,3,38.9,4.8,73.0,6.0,6.0
dog,5.2,6.6,1,6,38.3,2.4,84.0,4.0,5.0
cat,1.0,3.1,0,1,39.3,7.3,46.5,8.0,8.0
cat,7.2,6.0,0,4,38.4,7.8,111.0,9.0,8.0
cat,7.9,6.0,0,6,38.1,2.0,89.0,4.0,4.0
dog,4.6,7.1,1,7,38.1,5.6,94.0,8.0,7.0
cat,10.7,10.5,0,11,39.9,8.3,148.5,12.0,14.0
cat,2.3,5.8,1,13,38.0,9.4,90.0,14.0,8.0
dog,1.6,4.0,0,11,39.4,5.6,44.0,9.0,8.0
cat,6.7,4.9,0,10,37.7,9.6,115.0,13.0,8.0
cat,9.1,1.5,1,3,38.8,5.8,140.0,7.0,5.0
dog,11.1,3.6,0,9,38.7,4.5,133.5,8.0,5.0
cat,4.6,4.2,1,12,39.6,8.6,109.0,13.0,10.0
cat,9.2,4.0,1,12,38.0,5.4,139.0,9.0,5.0
cat,5.9,5.3,0,7,37.8,5.2,85.0,8.0,5.0
dog,5.5,3.4,1,14,38.4,5.4,102.0,10.0,5.0
dog,8.7,7.2,1,1,39.7,8.6,150.0,9.0,12.0
dog,8.0,5.0,0,2,37.9,8.5,122.5,9.0,7.0
cat,1.3,5.0,0,1,36.7,4.6,36.0,5.0,4.0
cat,10.4,4.3,1,11,38.5,4.0,144.0,8.0,5.0
dog,10.1,5.3,0,9,39.2,5.4,128.0,8.0,8.0
cat,4.1,6.7,1,9,37.8,6.2,92.0,9.0,6.0
cat,7.2,3.3,1,7,39.1,3.1,107.5,5.0,5.0
dog,7.5,3.7,0,10,37.8,8.1,115.5,11.0,6.0
dog,6.8,4.4,0,3,38.4,5.4,95.0,6.0,6.0
cat,4.3,2.3,0,13,39.0,4.0,63.0,8.0,5.0
cat,4.0,3.4,0,5,37.7,2.0,50.0,4.0,4.0
cat,5.9,4.0,1,4,38.6,3.1,94.5,4.0,4.0
dog,9.5,6.7,1,7,39.4,9.5,162.5,12.0,12.0
dog,7.6,5.5,0,14,38.8,3.7,94.5,8.0,6.0
dog,4.9,5.4,0,9,38.0,2.5,61.5,6.0,4.0
dog,8.3,6.7,1,12,39.6,5.1,128.5,9.0,9.0
cat,-2.5,4.7,1,2,39.0,3.8,30.0,4.0,6.0
dog,9.4,5.8,1,13,37.2,1.3,120.5,6.0,4.0
dog,0.8,4.8,1,8,39.1,3.9,47.5,7.0,6.0
dog,4.9,5.5,0,9,38.1,5.9,78.5,9.0,6.0
dog,2.6,3.8,1,10,38.6,6.0,76.0,9.0,6.0
dog,2.1,0.1,1,14,39.2,4.2,62.0,9.0,4.0
cat,9.5,4.7,0,10,38.1,5.0,120.0,8.0,5.0
cat,4.6,7.8,1,9,37.3,9.7,114.5,13.0,8.0
dog,7.0,6.9,1,14,39.6,4.4,112.0,9.0,9.0
cat,5.9,6.9,0,10,39.3,3.3,75.5,7.0,7.0
dog,7.4,7.5,0,14,38.4,3.2,90.0,8.0,6.0
dog,6.2,5.2,0,7,39.1,5.1,87.5,7.0,7.0
cat,2.2,5.4,1,9,38.2,7.8,81.0,11.0,8.0
cat,9.0,3.8,1,9,38.6,2.9,124.5,6.0,4.0
dog,4.5,4.4,0,14,38.4,7.4,82.0,12.0,7.0
dog,1.3,6.2,0,3,38.3,1.2,30.0,3.0,4.0
dog,4.7,7.4,1,4,38.8,4.8,91.0,6.0,8.0
cat,10.5,4.7,0,2,37.7,8.0,145.0,9.0,6.0
dog,8.6,4.1,0,10,38.3,4.0,106.0,7.0,4.0
dog,5.0,5.0,0,3,38.7,6.1,80.5,7.0,7.0
dog,5.0,6.2,1,11,39.8,2.8,84.0,6.0,8.0
cat,5.0,2.1,1,11,37.7,7.7,108.5,11.0,5.0
dog,12.2,0.4,1,5,38.9,1.5,149.5,3.0,4.0
dog,7.1,3.9,1,5,38.9,8.7,134.5,10.0,9.0
cat,7.3,2.6,1,6,37.2,2.8,107.0,5.0,4.0
dog,9.1,4.0,1,13,38.8,8.9,155.5,13.0,9.0
dog,6.7,4.7,0,7,39.1,4.2,88.0,7.0,6.0
cat,5.2,4.1,1,7,38.9,7.5,109.5,10.0,8.0
dog,5.4,7.9,1,1,38.4,3.9,93.5,4.0,6.0
cat,5.8,5.7,0,14,38.7,9.2,104.0,14.0,10.0
cat,5.9,5.6,1,2,38.6,2.1,89.5,3.0,4.0
dog,8.2,6.2,1,12,37.3,2.6,115.0,7.0,4.0
dog,6.2,2.7,0,9,38.6,5.4,89.0,8.0,5.0
dog,8.2,7.1,0,10,38.2,1.7,90.5,5.0,4.0
dog,5.8,4.8,0,2,38.0,2.8,72.0,3.0,4.0
cat,6.2,6.3,1,6,40.2,9.5,129.5,12.0,13.0
dog,0.0,2.9,0,11,39.4,9.8,49.0,13.0,10.0
cat,8.7,1.9,1,11,37.7,4.4,129.0,8.0,4.0
dog,7.0,6.6,1,1,38.7,9.3,136.5,10.0,10.0
dog,9.0,5.8,1,3,39.5,5.9,139.5,7.0,9.0
dog,-2.7,3.2,1,2,37.5,3.4,30.0,4.0,4.0
cat,12.3,3.3,0,3,38.6,7.3,159.5,8.0,7.0
dog,5.6,7.3,0,5,38.6,6.9,90.5,9.0,9.0
dog,9.3,2.6,1,11,37.6,9.9,162.5,14.0,6.0
dog,2.9,8.3,0,10,38.8,3.4,46.0,7.0,7.0
dog,7.8,3.2,1,6,39.3,7.0,133.0,9.0,8.0
cat,2.8,6.3,1,9,39.6,1.5,55.5,4.0,6.0
dog,4.1,4.3,1,12,38.3,2.0,71.0,6.0,4.0
cat,11.7,6.2,0,11,40.3,1.0,122.0,5.0,7.0
cat,5.4,3.9,1,10,37.1,10.0,124.0,13.0,6.0
cat,6.7,4.7,1,12,38.7,8.2,128.0,12.0,8.0
cat,8.6,5.1,0,12,37.5,8.1,126.5,12.0,6.0
cat,7.5,3.0,0,13,38.6,5.6,103.0,10.0,6.0
cat,6.5,6.5,0,4,38.1,3.7,83.5,5.0,5.0
dog,7.1,4.0,0,7,38.9,2.4,83.0,5.0,4.0
cat,13.2,4.5,1,6,38.4,3.6,170.0,6.0,5.0
cat,5.8,3.0,0,2,37.9,4.4,80.0,5.0,4.0
cat,6.6,-0.1,1,10,38.0,7.8,125.0,11.0,4.0
dog,9.2,4.6,0,11,39.9,5.9,121.5,10.0,9.0
dog,9.3,9.8,0,11,38.8,1.7,101.5,5.0,7.0
cat,9.6,6.6,0,11,37.3,1.2,102.0,5.0,4.0
dog,7.9,5.0,0,8,38.9,1.9,88.5,5.0,5.0
cat,2.6,4.5,0,7,38.4,4.7,49.5,7.0,5.0
cat,10.9,5.0,0,7,38.5,9.4,156.0,12.0,9.0
dog,2.6,6.1,1,14,39.1,6.7,79.5,11.0,9.0
cat,6.9,2.6,0,8,39.3,8.2,110.0,11.0,9.0
dog,3.7,7.2,0,12,37.9,5.2,63.0,9.0,6.0
dog,5.8,6.4,0,12,38.5,4.3,79.5,8.0,6.0
cat,7.0,6.4,0,13,38.1,2.0,80.0,6.0,4.0
cat,7.0,5.9,1,14,38.9,8.9,134.5,14.0,10.0
dog,7.3,5.0,0,11,38.3,8.0,113.0,12.0,8.0
cat,10.8,6.3,0,1,38.5,2.5,120.5,3.0,5.0
cat,7.4,6.2,0,13,38.3,5.6,102.0,10.0,7.0
cat,5.3,4.3,0,1,38.4,5.4,80.0,6.0,6.0
dog,8.9,3.9,1,8,39.7,6.6,142.0,9.0,9.0
dog,9.6,5.2,0,4,40.2,9.5,143.5,11.0,13.0
cat,2.3,8.1,1,5,38.8,6.2,74.0,8.0,9.0
dog,7.8,2.5,0,8,38.4,5.9,107.5,9.0,5.0
dog,8.1,2.1,1,5,37.4,1.5,108.5,3.0,4.0
dog,5.1,5.3,1,10,38.0,1.6,79.0,5.0,4.0
dog,10.1,5.1,0,4,38.4,2.7,114.5,4.0,4.0
dog,5.5,5.3,0,12,38.0,1.3,61.5,5.0,4.0
cat,6.4,5.5,1,6,38.1,7.7,122.5,10.0,7.0
cat,5.5,4.6,1,13,39.6,7.5,112.5,12.0,10.0
cat,6.0,8.0,0,12,38.5,2.2,71.0,6.0,6.0
dog,2.7,1.8,1,5,38.6,8.5,89.5,10.0,7.0
dog,1.7,3.3,1,14,38.0,2.4,49.0,7.0,4.0
cat,10.8,4.8,1,7,39.3,3.7,146.5,6.0,7.0
dog,3.5,1.7,0,14,38.4,3.2,51.0,8.0,4.0
cat,3.0,4.6,1,10,38.1,4.4,72.0,8.0,5.0
cat,-0.5,8.3,1,7,37.4,3.3,31.5,6.0,4.0
cat,4.1,5.0,1,13,38.5,5.4,88.0,10.0,6.0
dog,2.0,5.5,0,4,38.1,4.7,43.5,6.0,5.0
dog,10.9,2.5,0,12,39.7,9.9,158.5,14.0,11.0
cat,9.0,3.8,1,13,39.8,1.5,117.5,6.0,6.0
cat,3.9,4.2,0,5,37.6,2.3,50.5,4.0,4.0
cat,12.8,4.4,1,13,37.7,1.5,155.5,6.0,4.0
cat,8.9,7.6,0,3,38.3,6.6,122.0,8.0,8.0
dog,5.0,6.1,0,4,37.9,1.5,57.5,3.0,4.0
dog,-1.5,2.8,1,14,38.7,8.5,47.5,13.0,8.0
cat,12.9,5.5,0,4,38.3,5.6,157.0,7.0,6.0
cat,1.8,6.0,0,3,38.7,5.7,46.5,7.0,7.0
dog,1.1,7.3,0,13,39.2,6.1,41.5,10.0,9.0
dog,9.1,8.2,1,10,37.8,2.5,123.5,6.0,4.0
cat,13.3,3.0,0,5,39.2,2.8,147.0,4.0,5.0
cat,10.2,3.4,0,5,38.0,3.9,121.5,6.0,4.0
cat,7.7,2.5,1,11,40.0,6.3,128.5,10.0,9.0
dog,7.8,4.5,0,7,39.6,2.9,92.5,5.0,6.0
dog,8.6,5.9,0,4,38.4,2.0,96.0,3.0,4.0
dog,8.3,7.0,0,13,37.8,9.7,131.5,14.0,9.0
cat,6.8,4.8,0,4,37.7,1.2,74.0,3.0,4.0
cat,6.3,4.4,0,9,39.1,8.2,104.0,11.0,9.0
dog,5.8,5.3,1,6,38.5,8.1,118.5,10.0,8.0
dog,3.7,3.3,1,4,39.1,3.7,75.5,5.0,5.0
cat,5.2,9.2,0,2,40.0,2.2,63.0,3.0,9.0
